edad,grupo_etario,genero,ocupacion,ingreso_mensual,metodo_pago_preferido,frecuencia_efectivo,frecuencia_digital,tipo_comercio,gasto_semanal,razon_metodo,uso_billetera_digital,confianza_digital
47,36-50,Femenino,Ama de casa,Q1500-3000,Efectivo,Siempre,Nunca,Farmacia,200.00,Costumbre,False,2
44,36-50,Masculino,Trabaja,Q5000-10000,Tarjeta debito,A veces,Casi siempre,Supermercado,530.00,Seguridad,True,3
37,36-50,Femenino,Trabaja,Q3000-5000,Efectivo,Casi siempre,A veces,Tienda de barrio,255.00,Costumbre,False,2
55,51+,Masculino,Trabaja,Q3000-5000,Efectivo,Siempre,Nunca,Tienda de barrio,305.00,Costumbre,False,1
62,51+,Femenino,Jubilado,<Q1500,Efectivo,Siempre,Nunca,Tienda de barrio,180.00,Costumbre,False,1
58,51+,Masculino,Trabaja,Q5000-10000,Efectivo,Siempre,Nunca,Supermercado,450.00,Costumbre,False,1
67,51+,Femenino,Jubilado,<Q1500,Efectivo,Siempre,Nunca,Farmacia,150.00,Costumbre,False,1
53,51+,Masculino,Trabaja,Q3000-5000,Efectivo,Casi siempre,Nunca,Tienda de barrio,290.00,Costumbre,False,1
59,51+,Femenino,Ama de casa,Q1500-3000,Efectivo,Siempre,Nunca,Tienda de barrio,195.00,Costumbre,False,1
64,51+,Masculino,Jubilado,<Q1500,Efectivo,Siempre,Nunca,Tienda de barrio,140.00,Unico disponible,False,1
70,51+,Femenino,Jubilado,<Q1500,Efectivo,Siempre,Nunca,Farmacia,130.00,Unico disponible,False,1
